FEINumber,LegalName,InspectionID,InspectionEndDate,CitationID,ShortDescription,LongDescription,ProgramArea
3004347567,WHITMAN LABORATORIES LTD.,1303058,2/27/2026,1105,"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not fully followed.,Drugs
3004347567,WHITMAN LABORATORIES LTD.,1303058,2/27/2026,1213,Cleaning / Sanitizing / Maintenance,"Equipment and utensils are not maintained at appropriate intervals to prevent contamination that would alter the safety, identity, strength, quality or purity of the drug product.",Drugs
3016439754,"Misemer Pharmaceutical, Inc.",1304158,2/23/2026,6730,Failure to develop written procedures,Written procedures have not been developed for the reporting to FDA of post marketing adverse drug experiences.,Drugs
3016439754,"Misemer Pharmaceutical, Inc.",1304158,2/23/2026,6832,Late submission of annual safety reports,Not all annual periodic adverse drug experience reports have been submitted within 60 days of the anniversary date of the approval of the application.,Drugs
3016439754,"Misemer Pharmaceutical, Inc.",1304158,2/23/2026,8912,Timely submission,An annual report was not submitted within 60 days of the anniversary date of U.S. approval of the application to the FDA division responsible for reviewing the application.,Drugs
3016439754,"Misemer Pharmaceutical, Inc.",1304158,2/23/2026,6831,Late submission of quarterly safety reports,Not all quarterly periodic adverse drug experience reports have been submitted within 30 days of the close of the quarter.,Drugs
1130591,"Aphena Pharma Solutions - Maryland, LLC",1304024,2/20/2026,1105,"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not in writing and fully followed.,Drugs
1130591,"Aphena Pharma Solutions - Maryland, LLC",1304024,2/20/2026,1787,Procedures To Be in Writing,"Written procedures are lacking which describe in sufficient detail the receipt, testing, approval and rejection of components and drug product containers.",Drugs
1130591,"Aphena Pharma Solutions - Maryland, LLC",1304024,2/20/2026,2027,"Investigations of discrepancies, failures",There is a failure to thoroughly review any unexplained discrepancy and the failure of a batch or any of its components to meet any of its specifications whether or not the batch has been already distributed.,Drugs
3006244497,Janssen Cilag Manufacturing LLC,1302416,2/11/2026,3603,Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate sampling plans and test procedures designed to assure that drug products conform to appropriate standards of identity, strength, quality and purity.",Drugs
3006244497,Janssen Cilag Manufacturing LLC,1302416,2/11/2026,2027,"Investigations of discrepancies, failures",There is a failure to thoroughly review any unexplained discrepancy and the failure of a batch or any of its components to meet any of its specifications whether or not the batch has been already distributed.,Drugs
3018815311,"Axsome Therapeutics, Inc.",1301534,2/6/2026,7482,General responsibilities of sponsors,Failure to ensure the study is conducted in accordance with the  protocol and/or investigational plan.,Bioresearch Monitoring
3018815311,"Axsome Therapeutics, Inc.",1301534,2/6/2026,7557,Notification of FDA of termination of investigator,"Failure to notify FDA of the ending, for cause, of an investigator's participation in an investigation.",Bioresearch Monitoring
