FEINumber,LegalName,AddressLine1,City,ProductType,PostedCitations
3002808384,Sun Pharma Canada Inc.,130 East Dr,Brampton,Drugs,No 
3014449454,"J & H Fulfillment, LLC.",955 N Weigel Ave Ste 100,Elmhurst,Drugs,No 
3005890568,Cerovene Inc.,612 Corporate Way Ste 10,Valley Cottage,Drugs,No 
3003173295,"Apollo Health And Beauty Care, Inc.",1 Apollo Pl,North York,Drugs,No 
3008889778,Active Creations LLC,31 Executive Ave,Edison,Drugs,No 
3014645733,MSN PHARMACEUTICALS INC.,20 Duke Rd,Piscataway,Drugs,No 
3003228091,"Pharma Medica Research, Inc.",6100 Belgrave Rd,Mississauga,Drugs,No 
3004771217,Cardinal Health 414 LLC,5795 Arville St Ste 100,Las Vegas,Drugs,No 
3002804236,"West Services and Solutions, LLC",530 Herman O West Dr,Exton,Drugs,No 
3020999966,argenx BV,33 Arch St Fl 32,Boston,Drugs,No 
3042347326,"Michael Rosario-Prieto, M.D.","Baycare Medical Group, 1201 5th Ave N Ste 202",Saint Petersburg,Drugs,No 
3006174712,Altasciences Company Inc. - Laval,575 Armand-Frappier Blvd,Laval,Drugs,No 
3024549670,"Marek Smilowski, MD","Wielospecjalistyczna Poradnia Lekarska Synapsis, Ul. Boleslawa Czerwinskiego 8",Katowice,Drugs,No 
3009071264,"Yabao Pharmaceutical Co., Ltd. Beijing","Bda 97, Kechuang Dong Sixth Street",Tongzhou,Drugs,No 
3008580332,"Eurofins Infinity Laboratory Group,Inc.",2200 W 97th Pl,Crown Point,Drugs,No 
3011761882,"Curexa - East, LLC dba Curexa",3007 Ocean Heights Ave,Egg Harbor Township,Drugs,No 
3042220169,"Danielle A. Shiller, D.O.",480 S Us Highway 45,Grayslake,Drugs,No 
3001812586,Parexel International (MA) Corporation,275 Grove St Ste 1e-310,Auburndale,Drugs,No 
3016446657,"Barbara Steinborn, M.D.","Uniwersytecki Szpital Kliniczny W. Poznaniu, Ul. Stanislawa Przybyszewskiego 49",Poznan,Drugs,No 
3029023357,"Aaron L. Ellenbogen, D.O.","Quest Research Institute, 28555 Orchard Lake Rd Ste 200",Farmington Hills,Drugs,No 
1000513211,Vertex Pharmaceuticals Incorporated,50 Northern Ave,Boston,Drugs,No 
1411365,AbbVie Inc.,1401 Sheridan Rd,North Chicago,Drugs,No 
1826582,W. R. Grace & Company,1421 Kalamazoo St,South Haven,Drugs,No 
1000021877,"Gaylord Chemical Company, LLC",1880 Fairlawn Rd,Tuscaloosa,Drugs,No 
1628196,Brio Pharmaceuticals Inc,10863 Rockley Rd,Houston,Drugs,Yes
3009690111,Hillyard GMP,226 Robidoux Street,Saint Joseph,Drugs,No 
3004347567,WHITMAN LABORATORIES LTD.,Bedford Road,Petersfield,Drugs,Yes
3042129518,"Kumaran Deiva, MD, PhD","Centre Hospitalier Universitaire De Bicetre, 78 Rue Du General Leclerc",Le Kremlin-Bicetre,Drugs,No 
3042120591,"Brien E. Pierpont, M.D.","Advance Medical Research, Inc., 2299 9th Ave N Ste 3d",Saint Petersburg,Drugs,Yes
3023464,Legacy Health IRB,1225 Ne 2nd Ave,Portland,Drugs,No 
3021581807,"David F. Jativa, M.D.","Prohealth Research Center, Inc., 8247 Nw 36th St Ste B",Doral,Drugs,No 
3012816120,"BioChroma Analytical Labs, LLC.",1309 Record Crossing Rd,Dallas,Drugs,No 
3016439754,"Misemer Pharmaceutical, Inc.",203 N Main St,Ripley,Drugs,Yes
1033964,GlaxoSmithKline LLC,1011 N Arendell Ave,Zebulon,Drugs,No 
1130591,"Aphena Pharma Solutions - Maryland, LLC",7978 Industrial Park Rd,Easton,Drugs,Yes
1000305894,"Particle Technology Group, LLC",555 Rogers St,Downers Grove,Drugs,No 
1811666,L. Perrigo Company,515 Eastern Ave,Allegan,Drugs,No 
3009784323,Cardinal Health 414 LLC,536 N St Francis St,Wichita,Drugs,No 
3005039924,"Air Products and Chemicals, Inc.",500 Freeport Rd,Creighton,Drugs,No 
3042070992,Gul Basaran,"Tophanelioglu Cadde Okul Sok. No:1 Uskudar 34662 Istanbul, Turkiye Acibadem Altunizade Hospital",Altunizade,Drugs,No 
3017581385,"Jeff M. Livingston, MD",2101 Westpark Ct Ste 250,Euless,Drugs,No 
3028672933,"BeOne Medicines USA, Inc.",311 Pennington Rocky Hill Rd Bldg 51,Pennington,Drugs,Yes
1026011,Airgas USA LLC,9857 Bachman Rd,Orlando,Drugs,No 
3008674916,The Methodist Hospital Research Institute,6670 Bertner Ave,Houston,Drugs,Yes
3012267393,"Monica M. Mita, MD, MSc, Clinical Investigator","Hoag Hospital, 1 Hoag Dr",Newport Beach,Drugs,No 
2182825,"Birchwood Laboratories, LLC",7900 Fuller Rd,Eden Prairie,Drugs,Yes
3004968566,Lawrence Berkeley National Laboratory IRB,1 Cyclotron Rd Bldg 50a Rm 4119,Berkeley,Drugs,No 
3016577628,Shakti Lifescience Private Limited,"Plot No. K2 & K-1 M.I.D.C. Tarapur, Boisar",Palghar District,Drugs,No 
3012318942,"AMPAC Fine Chemicals Texas, LLC",914 S. 16th Street,La Porte,Drugs,No 
3013999816,ASolution Pharmaceuticals Pvt. Ltd.,K - 3/8 Additional Ambernath Midc,Kalyan,Drugs,No 
3040362352,"Dr. Jinxi Chen, M.D.","Hopeshine-Minsheng Hospital Of Xinzheng Phase I Clinical Research Center, No. 126 Jiefang North Road",Xinzheng City,Drugs,No 
3042072276,Umut Demirci,"Memorial Ankara Hospital, Balgat Mah., Mevlana Blv. , 1422 Sok. No 4 Cankaya",Ankara,Drugs,No 
1525570,"Matheson Tri-Gas, Inc.",1720 Trade Rd,Holland,Drugs,No 
3006244497,Janssen Cilag Manufacturing LLC,"State Road 933 Km. 0.1, Mamey Ward",Gurabo,Drugs,Yes
3032948549,"Upsher-Smith Laboratories, LLC",6701 Evenstad Dr N Ste 300,Maple Grove,Drugs,No 
3041850677,Rosa A. Tang,7500 Beechnut St Ste 175,Houston,Drugs,No 
3040132187,"Magesh Rajagopal, MBBS","Aram Hospital, 21, 4th Cross Street, Ramalinga Nagar, South Extension, Vayalur Road",Tiruchirappalli,Drugs,No 
3027748323,Shanghai Xihua Scientific Co. Ltd.,"Building 7 2nd Floor, 249 Faladi Road",Shanghai,Drugs,No 
3013838970,Zhimin (NMI) Shao,"No. 4333 Kangxin High Way, Pudong New Area",Shanghai,Drugs,No 
3007112035,Cardinal Health 414 LLC,3016 Usf Hawthorn Drive,Tampa,Drugs,Yes
3001451441,"Lonza Biologics, Inc.",101 International Dr,Portsmouth,Drugs,No 
3009481791,"Miyoshi America, Inc",110 Louisa Viens Dr,Dayville,Drugs,No 
3041398061,Nicholas McAndrew M.D.,2336 Santa Monica Blvd Ste 304,Santa Monica,Drugs,No 
2518332,"Sharp Packaging Services, LLC",23 Carland Rd,Conshohocken,Drugs,No 
2523517,Matheson Tri-Gas Inc.,1 Nitrous Ln,Donora,Drugs,No 
