PRODUCTID,RECALLEVENTID,PRODUCTTYPESHORT,FIRMCITYNAM,FIRMCOUNTRYNAM,PHASETXT,RECALLINITIATIONDT,FIRMLEGALNAM,DISTRIBUTIONAREASUMMARYTXT,CENTERCD,FIRMSTATEPRVNCNAM,CENTERCLASSIFICATIONDT,TERMINATIONDT,CENTERCLASSIFICATIONTYPETXT,ENFORCEMENTREPORTDT,EVENTLMD,PRODUCTDESCRIPTIONTXT,PRODUCTSHORTREASONTXT,RECALLNUM,PRODUCTDISTRIBUTEDQUANTITY,RID
205157,93701,Drugs,Parsippany,United States,Ongoing,12/29/2023,"Ascend Laboratories, LLC",Nationwide,CDER,New Jersey,01/17/2024,,2,01/24/2024,01/17/2024,"Ibuprofen and Famotidine Tablets 800mg/26.6mg, Rx Only, 90 Tablets per Bottle, manufactured by: Alkem Laboratories Ltd., INDIA, Distributed by: Ascend Laboratories, LLC., Parsippany, NJ 07054, NDC 67877-626-90

",Presence of Foreign Tablet/Capsule: A stray Rasagiline Mesylate 1 mg tablet was discovered in an unopened bottle of Ibuprofen and Famotidine.,D-0237-2024,"3,288 bottles",27
205444,93793,Devices,Center Valley,United States,Ongoing,12/29/2023,Aesculap Inc,"US Nationwide distribution in the states of CA, CO, FL, ID, KY, MD, MO, MT, NV, NY, OR, PA, RI, TN, TX, VA.",CDRH,Pennsylvania,01/31/2024,,2,02/07/2024,01/31/2024,"MB362R - JACOBSON DUROGRIP TC Micro Needle Holder, straight, 8 3/4"", (220 mm), ""TC JACOBSON NDL HLD STR JAW 220MM"";","Needle Holder MB215R was inadvertently distributed as MB362R. Similarly, MB362R was distributed as MB215R during the affected distribution date range. The issue may lead to a short delay in procedure.",Z-0866-2024,53,26
205445,93793,Devices,Center Valley,United States,Ongoing,12/29/2023,Aesculap Inc,"US Nationwide distribution in the states of CA, CO, FL, ID, KY, MD, MO, MT, NV, NY, OR, PA, RI, TN, TX, VA.",CDRH,Pennsylvania,01/31/2024,,2,02/07/2024,01/31/2024,"MB215R - MILLS DUROGRIP TC Micro Needle Holder, straight, 8:, (203 mm), ""TC MILLS NDLE HOLDRRND HNDLSTR203MM""","Needle Holder MB215R was inadvertently distributed as MB362R. Similarly, MB362R was distributed as MB215R during the affected distribution date range. The issue may lead to a short delay in procedure.",Z-0867-2024,60,25
205310,93715,Devices,Madison,United States,Ongoing,12/29/2023,"Datex-Ohmeda, Inc.",Worldwide,CDRH,Wisconsin,01/30/2024,,1,02/07/2024,10/24/2024,"EvAir CPRSR Kit Upgrade:  
a) DISS/CEE 7/7 230V 50/60 HZ, Model Number M1230849; 
b) DISS/NEMA 5-15 115V 60 HZ, Model Number M1230847; 
c) NIST/BS 1363 230V 50/60 HZ, Model Number M1230849; 
d) NIST/BS 546 230V 50/60 HZ, Model Number M1230849; 
e) NIST/CEE 7/7 230V 50/60 HZ, Model Number M1230849; 
","GE HealthCare has become aware of elevated levels of formaldehyde when the EVair or EVair 03 (Jun-Air) optional compressors are used with the CARESCAPE
R860 or Engstr¿m Carestation/Pro ventilators, respectively. These elevated results were observed in preliminary testing that was conducted at an elevated room temperature of 40oC (104oF), at the lowest possible flow condition of 2 L/min (worstcase,
minimum bias flow with no additional ventilation), and all of the gas being supplied from the compressor (i.e., FiO2 of 21% / no supplemental oxygen). GE HealthCare is continuing to evaluate the root cause for these elevated levels of formaldehyde.
While these test conditions are not representative of typical clinical use conditions,GE HealthCare is taking this action to further reduce the potential for patient exposure.",Z-0776-2024,1294 units,24
205298,93715,Devices,Madison,United States,Ongoing,12/29/2023,"Datex-Ohmeda, Inc.",Worldwide,CDRH,Wisconsin,01/30/2024,,1,02/07/2024,10/24/2024,"EVair 03 (Jun-air) air compressor, model numbers:  1609000 and 1609002
","GE HealthCare has become aware of elevated levels of formaldehyde when the EVair or EVair 03 (Jun-Air) optional compressors are used with the CARESCAPE
R860 or Engstr¿m Carestation/Pro ventilators, respectively. These elevated results were observed in preliminary testing that was conducted at an elevated room temperature of 40oC (104oF), at the lowest possible flow condition of 2 L/min (worstcase,
minimum bias flow with no additional ventilation), and all of the gas being supplied from the compressor (i.e., FiO2 of 21% / no supplemental oxygen). GE HealthCare is continuing to evaluate the root cause for these elevated levels of formaldehyde.
While these test conditions are not representative of typical clinical use conditions,GE HealthCare is taking this action to further reduce the potential for patient exposure.",Z-0775-2024,12 units,23
205297,93715,Devices,Madison,United States,Ongoing,12/29/2023,"Datex-Ohmeda, Inc.",Worldwide,CDRH,Wisconsin,01/30/2024,,1,02/07/2024,10/24/2024,"EVair air compressor, model numbers:  M1230849 and M1230847
","GE HealthCare has become aware of elevated levels of formaldehyde when the EVair or EVair 03 (Jun-Air) optional compressors are used with the CARESCAPE
R860 or Engstr¿m Carestation/Pro ventilators, respectively. These elevated results were observed in preliminary testing that was conducted at an elevated room temperature of 40oC (104oF), at the lowest possible flow condition of 2 L/min (worstcase,
minimum bias flow with no additional ventilation), and all of the gas being supplied from the compressor (i.e., FiO2 of 21% / no supplemental oxygen). GE HealthCare is continuing to evaluate the root cause for these elevated levels of formaldehyde.
While these test conditions are not representative of typical clinical use conditions,GE HealthCare is taking this action to further reduce the potential for patient exposure.",Z-0774-2024,4032 units,22
205239,93706,Drugs,East Brunswick,United States,Ongoing,12/29/2023,"Rising Pharma Holding, Inc.",Nationwide within the United States,CDER,New Jersey,01/11/2024,,2,01/17/2024,01/11/2024,"buPROPion Hydrochloride Extended-Release Tablets, USP (XL) 150mg, 30-count bottles, Rx Only, Manufactured for: Rising Pharma Holdings, Inc. East Brunswick, NJ 08816
Manufactured by: Graviti Pharmaceuticals Pvt. Ltd. Telangana - 502307, INDIA, NDC 16571-862-03
",Presence of Foreign Tablets/Capsules,D-0222-2024,"47,976 bottles",21
205272,93710,Drugs,Englewood,United States,Ongoing,12/28/2023,"Denver Solutions, LLC DBA Leiters Health",Nationwide within the United States,CDER,Colorado,01/29/2024,,1,02/07/2024,01/29/2024,"PHENYLephrine HCl 20 mg per 250 mL 0.9% Sodium Chloride (80 mcg per mL), Item F3360, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-148-94.",Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,D-0279-2024,"29,016 IV bags",50
205275,93710,Drugs,Englewood,United States,Ongoing,12/28/2023,"Denver Solutions, LLC DBA Leiters Health",Nationwide within the United States,CDER,Colorado,01/29/2024,,1,02/07/2024,01/29/2024,"VANCOmycin HCl PF 1.5g added to 0.9% Sodium Chloride 250 mL IV bag, Item F3208, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-029-68.",Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,D-0282-2024,"7,548 IV bags",49
205273,93710,Drugs,Englewood,United States,Ongoing,12/28/2023,"Denver Solutions, LLC DBA Leiters Health",Nationwide within the United States,CDER,Colorado,01/29/2024,,1,02/07/2024,01/29/2024,"PHENYLephrine HCl 40 mg per 250 mL 0.9% Sodium Chloride (160 mcg per mL), Item F3352, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-150-82.",Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,D-0280-2024,"12,564 IV bags",48
